body_tie,gate_ref,endpoint_test_acc,endpoint_epoch,untrained_acc,status,runtime_s,test_loss,test_acc_recheck
drain,body,0.9666666666666667,15,0.14166666666666666,ok,142.4,0.0021237447222222216,0.9666666666666667
drain,drain,0.9666666666666667,15,0.14166666666666666,ok,112.1,0.0021237447222222216,0.9666666666666667
drain,ground,0.9805555555555555,15,0.1361111111111111,ok,112.2,0.0020280294444444446,0.9805555555555555
drain,source,0.9722222222222222,15,0.1388888888888889,ok,126.7,0.002248100555555555,0.9722222222222222
floating,body,0.9777777777777777,15,0.12777777777777777,ok,237.9,0.0020199019444444447,0.9777777777777777
floating,drain,0.9777777777777777,15,0.13055555555555556,ok,341.4,0.0020064222222222223,0.9777777777777777
floating,ground,0.9666666666666667,15,0.125,ok,306.7,0.002172196388888889,0.9666666666666667
floating,source,0.975,15,0.125,ok,302.7,0.0020414941666666666,0.975
ground,body,0.975,15,0.12777777777777777,ok,112.0,0.0022484563888888888,0.975
ground,drain,0.9722222222222222,15,0.12222222222222222,ok,176.1,0.0022213447222222227,0.9722222222222222
ground,ground,0.975,15,0.12777777777777777,ok,121.0,0.0022484563888888888,0.975
ground,source,0.975,15,0.12777777777777777,ok,187.5,0.002195022777777779,0.975
source,body,0.9722222222222222,15,0.12222222222222222,ok,137.7,0.0021271338888888902,0.9722222222222222
source,drain,0.975,15,0.12222222222222222,ok,178.8,0.0021138630555555564,0.975
source,ground,0.9694444444444444,15,0.12222222222222222,ok,177.2,0.002348400833333334,0.9694444444444444
source,source,0.9722222222222222,15,0.12222222222222222,ok,180.0,0.0021271338888888902,0.9722222222222222
