init_mean,init_half_spread,endpoint_test_acc,endpoint_epoch,untrained_acc,clip_fraction,is_reference,status,test_loss,test_acc_recheck
1.0,0.0,0.9638888888888889,15,0.3138888888888889,0.0,False,ok,0.002002662222222223,0.9638888888888889
1.0,0.25,0.9638888888888889,15,0.1638888888888889,0.0,False,ok,0.0022865658333333333,0.9638888888888889
1.0,0.5,0.95,15,0.175,0.0,False,ok,0.0026943444444444448,0.95
1.0,0.75,0.9555555555555556,15,0.16111111111111112,0.0,False,ok,0.0027796277777777777,0.9555555555555556
1.0,1.0,0.9555555555555556,15,0.16111111111111112,0.0,False,ok,0.002584707777777777,0.9555555555555556
1.0,1.25,0.9583333333333334,15,0.16111111111111112,0.0,False,ok,0.002534435555555556,0.9583333333333334
1.0,1.5,0.9611111111111111,15,0.1638888888888889,0.0,False,ok,0.002540695555555557,0.9611111111111111
1.0,1.75,0.9583333333333334,15,0.1638888888888889,0.0,False,ok,0.0025622394444444444,0.9583333333333334
1.0,2.0,0.9666666666666667,15,0.1638888888888889,0.0,False,ok,0.0026777755555555554,0.9666666666666667
1.0,2.25,0.9722222222222222,15,0.16111111111111112,0.0,False,ok,0.002548460833333333,0.9722222222222222
1.0,2.5,0.9666666666666667,15,0.15833333333333333,0.0,False,ok,0.0025726169444444448,0.9666666666666667
1.5,0.0,0.9444444444444444,15,0.3194444444444444,0.0,False,ok,0.0030728625000000015,0.9444444444444444
1.5,0.25,0.95,15,0.19166666666666668,0.0,False,ok,0.0025997230555555566,0.95
1.5,0.5,0.9444444444444444,15,0.17777777777777778,0.0,False,ok,0.002840313055555557,0.9444444444444444
1.5,0.75,0.95,15,0.17777777777777778,0.0,False,ok,0.0027204525000000005,0.95
1.5,1.0,0.9555555555555556,15,0.16666666666666666,0.0,False,ok,0.0028562608333333327,0.9555555555555556
1.5,1.25,0.9694444444444444,15,0.15833333333333333,0.0,False,ok,0.0026195252777777784,0.9694444444444444
1.5,1.5,0.9722222222222222,15,0.14722222222222223,0.0,False,ok,0.002260826111111111,0.9722222222222222
1.5,1.75,0.9638888888888889,15,0.15,0.0,False,ok,0.0026885844444444456,0.9638888888888889
1.5,2.0,0.9694444444444444,15,0.14722222222222223,0.0,False,ok,0.002484736666666667,0.9694444444444444
1.5,2.25,0.9611111111111111,15,0.15,0.0,False,ok,0.002476241666666668,0.9611111111111111
1.5,2.5,0.9694444444444444,15,0.15555555555555556,0.0,False,ok,0.0023835738888888882,0.9694444444444444
2.0,0.0,0.9611111111111111,15,0.3111111111111111,0.0,False,ok,0.002524615833333333,0.9611111111111111
2.0,0.25,0.9555555555555556,15,0.2222222222222222,0.0,False,ok,0.0024651622222222223,0.9555555555555556
2.0,0.5,0.9583333333333334,15,0.17777777777777778,0.0,False,ok,0.00233896,0.9583333333333334
2.0,0.75,0.9555555555555556,15,0.15555555555555556,0.0,False,ok,0.0026341222222222224,0.9555555555555556
2.0,1.0,0.9611111111111111,15,0.15833333333333333,0.0,False,ok,0.0026882694444444453,0.9611111111111111
2.0,1.25,0.9666666666666667,15,0.15,0.0,False,ok,0.002263625555555555,0.9666666666666667
2.0,1.5,0.9694444444444444,15,0.14722222222222223,0.0,False,ok,0.0022136113888888884,0.9694444444444444
2.0,1.75,0.9638888888888889,15,0.1527777777777778,0.0,False,ok,0.0023308680555555548,0.9638888888888889
2.0,2.0,0.9722222222222222,15,0.15555555555555556,0.0,False,ok,0.0023191686111111113,0.9722222222222222
2.0,2.25,0.9722222222222222,15,0.15555555555555556,0.0,False,ok,0.002426593333333333,0.9722222222222222
2.0,2.5,0.9722222222222222,15,0.15,0.0,False,ok,0.0022642777777777774,0.9722222222222222
2.5,0.0,0.9583333333333334,15,0.3111111111111111,0.0,False,ok,0.002406991111111112,0.9583333333333334
2.5,0.25,0.9722222222222222,15,0.25,0.0,False,ok,0.002188663888888889,0.9722222222222222
2.5,0.5,0.9694444444444444,15,0.19722222222222222,0.0,False,ok,0.002185053055555556,0.9694444444444444
2.5,0.75,0.9694444444444444,15,0.175,0.0,False,ok,0.0021981949999999996,0.9694444444444444
2.5,1.0,0.9722222222222222,15,0.1638888888888889,0.0,False,ok,0.0022048783333333336,0.9722222222222222
2.5,1.25,0.9805555555555555,15,0.15555555555555556,0.0,False,ok,0.002039973611111112,0.9805555555555555
2.5,1.5,0.9722222222222222,15,0.14444444444444443,0.0,False,ok,0.002164035833333334,0.9722222222222222
2.5,1.75,0.9694444444444444,15,0.14722222222222223,0.0,False,ok,0.002303851111111111,0.9694444444444444
2.5,2.0,0.9805555555555555,15,0.1361111111111111,0.0,True,ok,0.0020280294444444446,0.9805555555555555
2.5,2.25,0.975,15,0.14722222222222223,0.0,False,ok,0.0021452277777777775,0.975
2.5,2.5,0.9694444444444444,15,0.15,0.0,False,ok,0.002287889166666666,0.9694444444444444
3.0,0.0,0.9694444444444444,15,0.3055555555555556,0.0,False,ok,0.002439397222222223,0.9694444444444444
3.0,0.25,0.9638888888888889,15,0.2833333333333333,0.0,False,ok,0.0023787122222222222,0.9638888888888889
3.0,0.5,0.9666666666666667,15,0.20555555555555555,0.0,False,ok,0.0023111866666666665,0.9666666666666667
3.0,0.75,0.9638888888888889,15,0.17777777777777778,0.0,False,ok,0.0022330677777777797,0.9638888888888889
3.0,1.0,0.9666666666666667,15,0.17222222222222222,0.0,False,ok,0.002282492777777778,0.9666666666666667
3.0,1.25,0.9694444444444444,15,0.16111111111111112,0.0,False,ok,0.002181434722222223,0.9694444444444444
3.0,1.5,0.975,15,0.15,0.0,False,ok,0.002173848333333334,0.975
3.0,1.75,0.9805555555555555,15,0.14444444444444443,0.0,False,ok,0.0020731827777777777,0.9805555555555555
3.0,2.0,0.9722222222222222,15,0.14444444444444443,0.0,False,ok,0.002178970277777778,0.9722222222222222
3.0,2.25,0.9777777777777777,15,0.1388888888888889,0.0,False,ok,0.002079458888888888,0.9777777777777777
3.0,2.5,0.9777777777777777,15,0.14166666666666666,0.0,False,ok,0.002196607777777779,0.9777777777777777
3.5,0.0,0.9694444444444444,15,0.3055555555555556,0.0,False,ok,0.0022770580555555547,0.9694444444444444
3.5,0.25,0.9638888888888889,15,0.2972222222222222,0.0,False,ok,0.0023866575000000005,0.9638888888888889
3.5,0.5,0.9694444444444444,15,0.21388888888888888,0.0,False,ok,0.002408802777777778,0.9694444444444444
3.5,0.75,0.9666666666666667,15,0.19166666666666668,0.0,False,ok,0.002180888888888889,0.9666666666666667
3.5,1.0,0.9694444444444444,15,0.17222222222222222,0.0,False,ok,0.0022037986111111112,0.9694444444444444
3.5,1.25,0.9694444444444444,15,0.16666666666666666,0.0,False,ok,0.0022862183333333336,0.9694444444444444
3.5,1.5,0.9722222222222222,15,0.16111111111111112,0.0,False,ok,0.0020876241666666676,0.9722222222222222
3.5,1.75,0.9722222222222222,15,0.14444444444444443,0.0,False,ok,0.002241597777777778,0.9722222222222222
3.5,2.0,0.9694444444444444,15,0.1388888888888889,0.0,False,ok,0.0022761211111111106,0.9694444444444444
3.5,2.25,0.9666666666666667,15,0.1361111111111111,0.0,False,ok,0.0022090016666666662,0.9666666666666667
3.5,2.5,0.9777777777777777,15,0.1388888888888889,0.0,False,ok,0.0021733475,0.9777777777777777
4.0,0.0,0.9666666666666667,15,0.30833333333333335,0.0,False,ok,0.002213755555555556,0.9666666666666667
4.0,0.25,0.9611111111111111,15,0.30833333333333335,0.0,False,ok,0.002317800555555556,0.9611111111111111
4.0,0.5,0.9694444444444444,15,0.25555555555555554,0.0,False,ok,0.0022946611111111107,0.9694444444444444
4.0,0.75,0.9666666666666667,15,0.2,0.0,False,ok,0.0023070952777777777,0.9666666666666667
4.0,1.0,0.9694444444444444,15,0.18055555555555555,0.0,False,ok,0.002154096666666666,0.9694444444444444
4.0,1.25,0.9694444444444444,15,0.16666666666666666,0.0,False,ok,0.002273643333333334,0.9694444444444444
4.0,1.5,0.9722222222222222,15,0.1638888888888889,0.0,False,ok,0.00214653,0.9722222222222222
4.0,1.75,0.9722222222222222,15,0.15555555555555556,0.0,False,ok,0.0021415077777777775,0.9722222222222222
4.0,2.0,0.9666666666666667,15,0.15,0.0,False,ok,0.002137601944444445,0.9666666666666667
4.0,2.25,0.9722222222222222,15,0.14166666666666666,0.0,False,ok,0.0021265741666666674,0.9722222222222222
4.0,2.5,0.9777777777777777,15,0.1388888888888889,0.0,False,ok,0.002118010833333334,0.9777777777777777
4.5,0.0,0.9638888888888889,15,0.3055555555555556,0.0,False,ok,0.0023225788888888896,0.9638888888888889
4.5,0.25,0.9666666666666667,15,0.3111111111111111,0.0,False,ok,0.0022265794444444455,0.9666666666666667
4.5,0.5,0.9638888888888889,15,0.2722222222222222,0.0,False,ok,0.0022838927777777776,0.9638888888888889
4.5,0.75,0.9694444444444444,15,0.2222222222222222,0.0,False,ok,0.002259272777777778,0.9694444444444444
4.5,1.0,0.9666666666666667,15,0.18611111111111112,0.0,False,ok,0.0022780930555555546,0.9666666666666667
4.5,1.25,0.9694444444444444,15,0.18055555555555555,0.0,False,ok,0.00223312388888889,0.9694444444444444
4.5,1.5,0.9694444444444444,15,0.1638888888888889,0.0,False,ok,0.0021557050000000004,0.9694444444444444
4.5,1.75,0.9694444444444444,15,0.16666666666666666,0.0,False,ok,0.0022656163888888875,0.9694444444444444
4.5,2.0,0.9638888888888889,15,0.15833333333333333,0.0,False,ok,0.0021465477777777783,0.9638888888888889
4.5,2.25,0.9694444444444444,15,0.15,0.0,False,ok,0.002178624166666667,0.9694444444444444
4.5,2.5,0.9666666666666667,15,0.14166666666666666,0.0,False,ok,0.0021827816666666667,0.9666666666666667
5.0,0.0,0.9638888888888889,15,0.3055555555555556,0.0,False,ok,0.002301143333333334,0.9638888888888889
5.0,0.25,0.9666666666666667,15,0.30833333333333335,0.0,False,ok,0.0022660866666666672,0.9666666666666667
5.0,0.5,0.9638888888888889,15,0.28055555555555556,0.0,False,ok,0.0023228469444444445,0.9638888888888889
5.0,0.75,0.9611111111111111,15,0.24444444444444444,0.0,False,ok,0.0022837327777777776,0.9611111111111111
5.0,1.0,0.9666666666666667,15,0.21388888888888888,0.0,False,ok,0.0022959658333333343,0.9666666666666667
5.0,1.25,0.9666666666666667,15,0.18888888888888888,0.0,False,ok,0.0022606819444444446,0.9666666666666667
5.0,1.5,0.9694444444444444,15,0.17777777777777778,0.0,False,ok,0.002220098333333334,0.9694444444444444
5.0,1.75,0.9666666666666667,15,0.16666666666666666,0.0,False,ok,0.00220436138888889,0.9666666666666667
5.0,2.0,0.9694444444444444,15,0.16111111111111112,0.0,False,ok,0.002240047222222222,0.9694444444444444
5.0,2.25,0.9666666666666667,15,0.16111111111111112,0.0,False,ok,0.0022178827777777784,0.9666666666666667
5.0,2.5,0.9666666666666667,15,0.15,0.0,False,ok,0.0021750530555555555,0.9666666666666667
5.5,0.0,0.9638888888888889,15,0.3055555555555556,0.0,False,ok,0.002335520555555556,0.9638888888888889
5.5,0.25,0.9638888888888889,15,0.3055555555555556,0.0,False,ok,0.0023490638888888898,0.9638888888888889
5.5,0.5,0.9638888888888889,15,0.2861111111111111,0.0,False,ok,0.002312305833333333,0.9638888888888889
5.5,0.75,0.9638888888888889,15,0.25555555555555554,0.0,False,ok,0.0023503597222222223,0.9638888888888889
5.5,1.0,0.9611111111111111,15,0.22777777777777777,0.0,False,ok,0.0023300363888888874,0.9611111111111111
5.5,1.25,0.9666666666666667,15,0.19722222222222222,0.0,False,ok,0.0023412558333333333,0.9666666666666667
5.5,1.5,0.9638888888888889,15,0.18611111111111112,0.0,False,ok,0.0022695141666666664,0.9638888888888889
5.5,1.75,0.9611111111111111,15,0.175,0.0,False,ok,0.0022254377777777786,0.9611111111111111
5.5,2.0,0.9611111111111111,15,0.1638888888888889,0.0,False,ok,0.002278457777777779,0.9611111111111111
5.5,2.25,0.9611111111111111,15,0.16111111111111112,0.0,False,ok,0.002293754166666666,0.9611111111111111
5.5,2.5,0.9638888888888889,15,0.15833333333333333,0.0,False,ok,0.0022353913888888896,0.9638888888888889
6.0,0.0,0.9583333333333334,15,0.3055555555555556,0.0,False,ok,0.0024366969444444453,0.9583333333333334
6.0,0.25,0.9638888888888889,15,0.30833333333333335,0.0,False,ok,0.002350119722222223,0.9638888888888889
6.0,0.5,0.9638888888888889,15,0.3055555555555556,0.0,False,ok,0.002365163333333334,0.9638888888888889
6.0,0.75,0.9638888888888889,15,0.26666666666666666,0.0,False,ok,0.0023372116666666672,0.9638888888888889
6.0,1.0,0.9611111111111111,15,0.24166666666666667,0.0,False,ok,0.002362481388888888,0.9611111111111111
6.0,1.25,0.9611111111111111,15,0.21666666666666667,0.0,False,ok,0.002335415555555555,0.9611111111111111
6.0,1.5,0.9611111111111111,15,0.19444444444444445,0.0,False,ok,0.002364741666666667,0.9611111111111111
6.0,1.75,0.9611111111111111,15,0.18611111111111112,0.0,False,ok,0.002313478333333334,0.9611111111111111
6.0,2.0,0.9611111111111111,15,0.175,0.0,False,ok,0.0023103744444444435,0.9611111111111111
6.0,2.25,0.9611111111111111,15,0.16944444444444445,0.0553,False,ok,0.002306811111111112,0.9611111111111111
6.0,2.5,0.9611111111111111,15,0.16111111111111112,0.1051,False,ok,0.002330346944444445,0.9611111111111111
